,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
4239,0.65,0,"(65, 28)","(65, 28)",100,100,0.7,0.2
4238,0.65,0,"(65, 27)","(65, 27)",100,100,0.7,0.2
4237,0.65,0,"(65, 25)","(65, 25)",100,100,0.7,0.2
4236,0.65,0,"(65, 24)","(65, 24)",100,100,0.7,0.2
4235,0.65,0,"(65, 22)","(65, 22)",100,100,0.7,0.2
4234,0.65,0,"(65, 21)","(65, 21)",100,100,0.7,0.2
4233,0.65,0,"(65, 20)","(65, 20)",100,100,0.7,0.2
4232,0.65,0,"(65, 17)","(65, 17)",100,100,0.7,0.2
4231,0.65,0,"(65, 16)","(65, 16)",100,100,0.7,0.2
4230,0.65,0,"(65, 15)","(65, 15)",100,100,0.7,0.2
4229,0.65,0,"(65, 14)","(65, 14)",100,100,0.7,0.2
4228,0.65,0,"(65, 13)","(65, 13)",100,100,0.7,0.2
4227,0.65,0,"(65, 12)","(65, 12)",100,100,0.7,0.2
4226,0.65,0,"(65, 11)","(65, 11)",100,100,0.7,0.2
4224,0.65,0,"(65, 8)","(65, 8)",100,100,0.7,0.2
4199,0.65,0,"(64, 71)","(64, 71)",100,100,0.7,0.2
4198,0.65,0,"(64, 69)","(64, 69)",100,100,0.7,0.2
4197,0.65,0,"(64, 68)","(64, 68)",100,100,0.7,0.2
4170,0.65,0,"(64, 24)","(64, 24)",100,100,0.7,0.2
4169,0.65,0,"(64, 23)","(64, 23)",100,100,0.7,0.2
4168,0.65,0,"(64, 22)","(64, 22)",100,100,0.7,0.2
4167,0.65,0,"(64, 21)","(64, 21)",100,100,0.7,0.2
4166,0.65,0,"(64, 20)","(64, 20)",100,100,0.7,0.2
4165,0.65,0,"(64, 18)","(64, 18)",100,100,0.7,0.2
4164,0.65,0,"(64, 15)","(64, 15)",100,100,0.7,0.2
4163,0.65,0,"(64, 12)","(64, 12)",100,100,0.7,0.2
4162,0.65,0,"(64, 10)","(64, 10)",100,100,0.7,0.2
4161,0.65,0,"(64, 8)","(64, 8)",100,100,0.7,0.2
4160,0.65,0,"(64, 7)","(64, 7)",100,100,0.7,0.2
4159,0.65,0,"(64, 5)","(64, 5)",100,100,0.7,0.2
4158,0.65,0,"(64, 3)","(64, 3)",100,100,0.7,0.2
4157,0.65,0,"(64, 1)","(64, 1)",100,100,0.7,0.2
4156,0.65,0,"(63, 98)","(63, 98)",100,100,0.7,0.2
4155,0.65,0,"(63, 97)","(63, 97)",100,100,0.7,0.2
4154,0.65,0,"(63, 95)","(63, 95)",100,100,0.7,0.2
4153,0.65,0,"(63, 93)","(63, 93)",100,100,0.7,0.2
4152,0.65,0,"(63, 92)","(63, 92)",100,100,0.7,0.2
4151,0.65,0,"(63, 88)","(63, 88)",100,100,0.7,0.2
4150,0.65,0,"(63, 87)","(63, 87)",100,100,0.7,0.2
4171,0.65,0,"(64, 26)","(64, 26)",100,100,0.7,0.2
4172,0.65,0,"(64, 27)","(64, 27)",100,100,0.7,0.2
4173,0.65,0,"(64, 29)","(64, 29)",100,100,0.7,0.2
4174,0.65,0,"(64, 31)","(64, 31)",100,100,0.7,0.2
4196,0.65,0,"(64, 67)","(64, 67)",100,100,0.7,0.2
4195,0.65,0,"(64, 66)","(64, 66)",100,100,0.7,0.2
4194,0.65,0,"(64, 65)","(64, 65)",100,100,0.7,0.2
4193,0.65,0,"(64, 64)","(64, 64)",100,100,0.7,0.2
